dataset,format,bytes,mb,ratio_vs_cityjsonseq,baseline_format,ratio_vs_baseline
craig_clermont_lod3_1,cityparquet,8115014,7.739080429077148,3.5312356824030124,cityjsonseq,3.5312356824030124
craig_clermont_lod3_1,cityparquet-hilbert,8078332,7.704097747802734,3.5472702780722556,cityjsonseq,3.5472702780722556
craig_riom_lod2_1,citygml,78433203,74.79973125457764,0.1577385281587952,cityjsonseq,0.1577385281587952
craig_riom_lod2_1,cityjson,12993966,12.392011642456055,0.9521294730184764,cityjsonseq,0.9521294730184764
craig_riom_lod2_1,cityjsonseq,12371938,11.798799514770508,1.0,cityjsonseq,1.0
craig_riom_lod2_1,cityjsonseq-gz,3157045,3.0107927322387695,3.9188348598135283,cityjsonseq,3.9188348598135283
craig_riom_lod2_1,flatcitybuf,11647714,11.108125686645508,1.0621773508518495,cityjsonseq,1.0621773508518495
craig_riom_lod2_1,cityparquet,3972923,3.788874626159668,3.114064380306389,cityjsonseq,3.114064380306389
craig_riom_lod2_1,cityparquet-hilbert,3912347,3.731104850769043,3.1622803396528987,cityjsonseq,3.1622803396528987
craig_riom_lod2_2,citygml,59620390,56.85843467712402,0.16146402262715825,cityjsonseq,0.16146402262715825
craig_riom_lod2_2,cityjson,10016761,9.552727699279785,0.9610439941613861,cityjsonseq,0.9610439941613861
craig_riom_lod2_2,cityjsonseq,9626548,9.180591583251953,1.0,cityjsonseq,1.0
craig_riom_lod2_2,cityjsonseq-gz,2347424,2.238677978515625,4.100898687241845,cityjsonseq,4.100898687241845
craig_riom_lod2_2,flatcitybuf,9292256,8.861785888671875,1.035975332578009,cityjsonseq,1.035975332578009
craig_riom_lod2_2,cityparquet,3045193,2.9041223526000977,3.1612275478105984,cityjsonseq,3.1612275478105984
craig_riom_lod2_2,cityparquet-hilbert,2985311,2.8470144271850586,3.2246382370212014,cityjsonseq,3.2246382370212014
craig_valence_lod3_1,citygml,16185668,15.435855865478516,0.17007595855790444,cityjsonseq,0.17007595855790444
craig_valence_lod3_1,cityjson,2845803,2.7139692306518555,0.9673167819416875,cityjsonseq,0.9673167819416875
craig_valence_lod3_1,cityjsonseq,2752793,2.62526798248291,1.0,cityjsonseq,1.0
craig_valence_lod3_1,cityjsonseq-gz,664976,0.6341705322265625,4.139687748129256,cityjsonseq,4.139687748129256
craig_valence_lod3_1,flatcitybuf,2516154,2.3995914459228516,1.0940479000887864,cityjsonseq,1.0940479000887864
craig_valence_lod3_1,cityparquet,844470,0.8053493499755859,3.2597877958956505,cityjsonseq,3.2597877958956505
craig_valence_lod3_1,cityparquet-hilbert,836270,0.7975292205810547,3.2917514678273765,cityjsonseq,3.2917514678273765
craig_vichy_2016_lod3,citygml,52921317,50.46970081329346,0.17580206856907965,cityjsonseq,0.17580206856907965
craig_vichy_2016_lod3,cityjson,9735404,9.284404754638672,0.9556539204741786,cityjsonseq,0.9556539204741786
craig_vichy_2016_lod3,cityjsonseq,9303677,8.87267780303955,1.0,cityjsonseq,1.0
craig_vichy_2016_lod3,cityjsonseq-gz,2331519,2.2235097885131836,3.9903929584103754,cityjsonseq,3.9903929584103754
craig_vichy_2016_lod3,flatcitybuf,8346568,7.959907531738281,1.114670964161557,cityjsonseq,1.114670964161557
craig_vichy_2016_lod3,cityparquet,2751470,2.6240062713623047,3.38134778863662,cityjsonseq,3.38134778863662
craig_vichy_2016_lod3,cityparquet-hilbert,2719929,2.593926429748535,3.4205587719385324,cityjsonseq,3.4205587719385324
craig_vichy_unesco_lod3,citygml,215430331,205.45037364959717,0.1560626623184272,cityjsonseq,0.1560626623184272
craig_vichy_unesco_lod3,cityjson,36314937,34.632622718811035,0.9258072236226101,cityjsonseq,0.9258072236226101
